Number of Vehicles	Accident Day	Time	1st Road Class	Road Surface	Lighting Conditions	Weather Conditions	Casualty Class	Sex of Casualty	Age of Casualty	Type of Vehicle	Casualty Severity
2	Friday	2	Unclassified	Dry	Daylight: street lights present	Unknown	Driver or rider	Female	29	Car	Slight
2	Sunday	4	Unclassified	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	38	Pedal cycle	Serious
1	Monday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	78	Car	Slight
1	Monday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	51	Motorcycle over 500cc	Slight
4	Monday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	22	Car	Slight
4	Monday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	33	Car	Slight
1	Monday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	45	Car	Slight
3	Monday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	24	Car	Slight
2	Tuesday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	37	Goods vehicle 3.5 tonnes mgw and under	Slight
1	Tuesday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	64	Goods vehicle 3.5 tonnes mgw and under	Slight
1	Tuesday	4	Unclassified	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Male	58	Taxi/Private hire car	Slight
3	Wednesday	1	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	50	Goods vehicle 3.5 tonnes mgw and under	Slight
3	Wednesday	2	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	52	Car	Slight
1	Tuesday	3	Unclassified	Dry	Daylight: street lights present	Unknown	Pedestrian	Female	15	Bus or coach (17 or more passenger seats)	Slight
1	Thursday	4	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	18	Car	Slight
1	Thursday	2	A	Frost / Ice	Daylight: street lights present	Fine without high winds	Driver or rider	Female	22	Car	Slight
2	Thursday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	23	Car	Slight
2	Thursday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	22	Car	Slight
2	Thursday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	25	Car	Slight
2	Thursday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	49	Pedal cycle	Slight
2	Thursday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	49	Goods vehicle 3.5 tonnes mgw and under	Slight
3	Thursday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	24	Motorcycle over 500cc	Slight
2	Thursday	2	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	60	Car	Slight
2	Thursday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	53	Car	Slight
1	Thursday	3	Unclassified	Dry	Daylight: street lights present	Unknown	Pedestrian	Female	20	Car	Slight
1	Thursday	1	Unclassified	Dry	Daylight: street lights present	Unknown	Pedestrian	Female	14	Car	Slight
2	Thursday	4	Unclassified	Dry	Darkness: street lighting unknown	Unknown	Driver or rider	Male	25	Car	Slight
2	Friday	2	Unclassified	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	15	Pedal cycle	Slight
2	Friday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	77	Car	Slight
4	Friday	3	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	46	Car	Slight
4	Friday	1	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	25	Car	Slight
4	Friday	4	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	76	Car	Slight
4	Friday	3	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	26	Car	Slight
2	Sunday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	38	Pedal cycle	Serious
1	Friday	4	A	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Male	1	Bus or coach (17 or more passenger seats)	Slight
2	Saturday	3	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	20	Car	Serious
2	Friday	3	Unclassified	Dry	Darkness: street lights present and lit	Unknown	Driver or rider	Male	45	Taxi/Private hire car	Slight
2	Saturday	2	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	25	Car	Serious
2	Saturday	4	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	45	Car	Slight
2	Saturday	2	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	41	Car	Slight
2	Saturday	3	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	43	Car	Slight
2	Saturday	1	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	42	Car	Slight
2	Saturday	1	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	24	Car	Slight
1	Saturday	3	Unclassified	Dry	Darkness: no street lighting	Fine without high winds	Driver or rider	Male	16	Motorcycle over 50cc and up to 125cc	Serious
2	Saturday	3	A	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	68	Car	Slight
2	Saturday	2	A	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	65	Car	Slight
2	Saturday	3	A	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	42	Car	Slight
2	Saturday	4	A	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Female	25	Car	Slight
2	Sunday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	40	Pedal cycle	Slight
3	Sunday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	50	Pedal cycle	Slight
2	Sunday	2	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	47	Minibus (8 – 16 passenger seats)	Slight
2	Sunday	3	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Female	58	Car	Slight
2	Sunday	1	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	57	Car	Serious
2	Sunday	1	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	11	Car	Slight
2	Sunday	2	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	14	Car	Slight
2	Sunday	3	Motorway	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	27	Car	Slight
2	Sunday	4	Motorway	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	5	Car	Slight
2	Sunday	1	B	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	17	Taxi/Private hire car	Slight
3	Monday	4	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	53	Car	Slight
2	Monday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	48	Car	Slight
2	Monday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	16	M/cycle 50cc and under	Slight
2	Monday	4	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	31	Car	Slight
2	Monday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	40	Car	Slight
2	Monday	4	A	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Male	25	Car	Slight
2	Monday	3	A	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Female	49	Car	Slight
1	Tuesday	4	A(M)	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	54	Goods vehicle 7.5 tonnes mgw and over	Slight
2	Tuesday	1	Unclassified	Dry	Daylight: street lights present	Raining without high winds	Driver or rider	Male	21	Pedal cycle	Slight
2	Tuesday	1	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	40	Car	Slight
2	Tuesday	4	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	46	Pedal cycle	Slight
1	Tuesday	2	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Female	75	Taxi/Private hire car	Serious
1	Wednesday	2	Unclassified	Frost / Ice	Daylight: street lights present	Unknown	Driver or rider	Male	33	Motorcycle over 50cc and up to 125cc	Slight
3	Wednesday	2	Unclassified	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	27	Goods vehicle 3.5 tonnes mgw and under	Slight
1	Wednesday	4	A	Snow	Daylight: street lights present	Snowing without high winds	Pedestrian	Female	25	Car	Serious
3	Wednesday	1	Unclassified	Snow	Daylight: street lights present	Unknown	Driver or rider	Male	39	Car	Slight
3	Wednesday	3	Unclassified	Snow	Daylight: street lights present	Unknown	Driver or rider	Female	38	Car	Slight
3	Wednesday	4	Unclassified	Snow	Daylight: street lights present	Unknown	Driver or rider	Female	79	Car	Slight
1	Wednesday	4	A	Snow	Daylight: street lights present	Snowing without high winds	Driver or rider	Male	19	Motorcycle over 50cc and up to 125cc	Slight
2	Wednesday	1	Unclassified	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Female	45	Bus or coach (17 or more passenger seats)	Slight
2	Wednesday	4	Unclassified	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Female	42	Bus or coach (17 or more passenger seats)	Slight
2	Wednesday	4	Unclassified	Frost / Ice	Daylight: street lights present	Unknown	Pedestrian	Male	48	Car	Slight
2	Wednesday	1	A	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	42	Car	Slight
2	Wednesday	4	B	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Male	56	Pedal cycle	Slight
2	Wednesday	2	Unclassified	Dry	Daylight: street lights present	Unknown	Driver or rider	Female	34	Car	Slight
1	Wednesday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	14	Car	Serious
3	Tuesday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	19	Pedal cycle	Slight
1	Wednesday	3	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Pedestrian	Male	44	Car	Slight
2	Wednesday	3	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	14	Car	Slight
1	Thursday	4	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	11	Car	Slight
2	Thursday	3	A	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	60	Bus or coach (17 or more passenger seats)	Slight
3	Thursday	3	A	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Male	21	Car	Slight
2	Friday	2	Unclassified	Frost / Ice	Daylight: street lights present	Snowing without high winds	Vehicle or pillion passenger	Male	2	Car	Slight
2	Thursday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	21	Pedal cycle	Slight
2	Saturday	3	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Female	39	Car	Slight
2	Saturday	3	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	44	Car	Slight
2	Saturday	1	Motorway	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	45	Car	Slight
2	Saturday	4	A	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	74	Car	Slight
2	Saturday	1	A	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	49	Taxi/Private hire car	Slight
2	Sunday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	37	Car	Slight
2	Sunday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	39	Car	Serious
2	Sunday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	42	Car	Slight
2	Sunday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	11	Car	Serious
2	Sunday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	9	Car	Slight
2	Sunday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	2	Car	Slight
2	Sunday	3	Unclassified	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	35	Car	Slight
2	Sunday	3	Unclassified	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Female	11	Car	Slight
3	Sunday	2	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	20	Car	Slight
3	Sunday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	47	Car	Slight
1	Sunday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	52	Car	Slight
2	Sunday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	29	Pedal cycle	Slight
1	Sunday	2	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	37	Car	Slight
2	Monday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	43	Pedal cycle	Slight
1	Monday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	15	Car	Serious
2	Monday	3	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	24	Car	Slight
2	Monday	1	Motorway	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	30	Car	Slight
1	Monday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	31	Pedal cycle	Slight
1	Monday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	55	Pedal cycle	Slight
1	Monday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	6	Pedal cycle	Slight
1	Monday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	5	Pedal cycle	Slight
1	Monday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	45	Bus or coach (17 or more passenger seats)	Slight
1	Monday	1	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	9	Car	Slight
2	Monday	2	A	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	61	Goods vehicle 7.5 tonnes mgw and over	Slight
1	Monday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	50	Car	Slight
2	Monday	3	Unclassified	Dry	Darkness: street lighting unknown	Unknown	Driver or rider	Female	45	Car	Slight
2	Monday	4	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	39	Car	Slight
2	Tuesday	4	Unclassified	Dry	Darkness: street lighting unknown	Unknown	Driver or rider	Female	53	Car	Slight
2	Wednesday	3	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	36	Car	Slight
2	Wednesday	2	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Female	22	Car	Slight
2	Wednesday	1	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	40	Pedal cycle	Slight
1	Wednesday	4	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Vehicle or pillion passenger	Female	82	Bus or coach (17 or more passenger seats)	Serious
2	Wednesday	4	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	60	Car	Slight
1	Wednesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	5	Car	Slight
1	Wednesday	2	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Pedestrian	Male	57	Car	Slight
2	Thursday	2	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	24	Bus or coach (17 or more passenger seats)	Serious
2	Thursday	2	Unclassified	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	74	Car	Slight
2	Thursday	4	Motorway	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	18	Car	Slight
2	Thursday	2	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	23	Car	Slight
2	Thursday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	49	Car	Serious
2	Friday	4	A	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	33	Motorcycle over 500cc	Slight
2	Friday	3	A	Dry	Darkness: no street lighting	Fine without high winds	Driver or rider	Female	23	Car	Serious
2	Friday	4	A	Dry	Darkness: no street lighting	Fine without high winds	Vehicle or pillion passenger	Male	47	Car	Slight
2	Friday	3	A	Dry	Darkness: no street lighting	Fine without high winds	Driver or rider	Male	50	Car	Slight
1	Saturday	3	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	45	Car	Slight
4	Saturday	1	A	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	28	Motorcycle over 500cc	Slight
1	Saturday	3	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Male	35	Taxi/Private hire car	Slight
1	Sunday	3	Unclassified	Dry	Daylight: street lights present	Unknown	Pedestrian	Female	31	Car	Slight
1	Sunday	1	A	Dry	Daylight: street lights present	Unknown	Pedestrian	Male	67	Car	Slight
2	Sunday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	71	Car	Slight
1	Sunday	3	Motorway	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	22	Goods vehicle 3.5 tonnes mgw and under	Serious
2	Monday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	46	Pedal cycle	Slight
1	Tuesday	3	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	53	Bus or coach (17 or more passenger seats)	Slight
3	Tuesday	1	A(M)	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	41	Goods vehicle 3.5 tonnes mgw and under	Slight
2	Tuesday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	30	Motorcycle over 50cc and up to 125cc	Slight
2	Tuesday	3	B	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	70	Car	Slight
1	Wednesday	2	B	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	7	Car	Slight
2	Wednesday	3	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	33	Car	Slight
2	Wednesday	1	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	54	Car	Slight
2	Wednesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	47	Motorcycle over 500cc	Serious
3	Thursday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	62	Car	Slight
3	Thursday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	53	Car	Slight
2	Thursday	1	Unclassified	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	12	Pedal cycle	Slight
2	Wednesday	2	Unclassified	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	30	Pedal cycle	Slight
2	Thursday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	36	Pedal cycle	Slight
2	Friday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	51	Car	Slight
2	Friday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	24	Taxi/Private hire car	Slight
2	Friday	4	A	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	22	Motorcycle over 50cc and up to 125cc	Slight
2	Friday	3	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Female	37	Car	Slight
2	Saturday	1	A(M)	Dry	Darkness: no street lighting	Fine without high winds	Driver or rider	Female	22	Car	Slight
2	Saturday	3	A(M)	Dry	Darkness: no street lighting	Fine without high winds	Vehicle or pillion passenger	Female	20	Car	Serious
2	Saturday	4	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	34	Car	Slight
2	Saturday	3	Motorway	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	65	Car	Slight
2	Saturday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	63	Car	Slight
2	Sunday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	45	Pedal cycle	Serious
2	Sunday	3	A	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Female	28	Taxi/Private hire car	Slight
1	Sunday	3	Motorway	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	18	Car	Slight
2	Sunday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	19	Car	Slight
2	Sunday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	79	Car	Slight
2	Sunday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	79	Car	Slight
3	Sunday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	31	Car	Slight
3	Sunday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	5	Car	Slight
3	Sunday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	43	Car	Slight
3	Sunday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	7	Car	Slight
3	Sunday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	8	Car	Slight
2	Sunday	1	A	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	18	Car	Slight
2	Monday	4	Motorway	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	45	Car	Slight
1	Monday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	57	Bus or coach (17 or more passenger seats)	Slight
2	Tuesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	39	Car	Slight
2	Tuesday	1	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	18	Car	Slight
1	Tuesday	1	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Female	22	Car	Serious
3	Wednesday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	37	Car	Slight
1	Wednesday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	43	Motorcycle over 500cc	Serious
2	Tuesday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	51	Bus or coach (17 or more passenger seats)	Slight
2	Tuesday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	55	Bus or coach (17 or more passenger seats)	Slight
2	Thursday	4	Unclassified	Dry	Darkness: street lighting unknown	Unknown	Driver or rider	Male	15	Pedal cycle	Slight
4	Friday	1	A(M)	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	47	Car	Slight
4	Friday	2	A(M)	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Female	37	Car	Slight
4	Friday	4	A(M)	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	13	Car	Slight
4	Friday	2	A(M)	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	7	Car	Slight
4	Friday	1	A(M)	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	27	Car	Slight
4	Friday	4	A(M)	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	23	Car	Slight
4	Friday	2	A(M)	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	64	Car	Slight
4	Friday	1	A(M)	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Female	34	Car	Slight
2	Friday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	25	Car	Slight
1	Friday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	67	Motorcycle over 500cc	Serious
2	Friday	1	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	28	Car	Slight
1	Saturday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	46	Car	Slight
1	Saturday	1	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	30	Car	Serious
2	Saturday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	29	Car	Slight
1	Saturday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	20	Car	Slight
1	Saturday	2	Motorway	Wet / Damp	Daylight: street lights present	Raining without high winds	Vehicle or pillion passenger	Female	55	Car	Slight
2	Sunday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	25	Car	Slight
2	Sunday	2	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	34	Car	Slight
1	Sunday	3	B	Wet / Damp	Daylight: street lights present	Raining without high winds	Pedestrian	Female	11	Car	Serious
3	Sunday	4	Unclassified	Wet / Damp	Daylight: street lights present	Raining with high winds	Vehicle or pillion passenger	Female	19	Car	Slight
1	Sunday	4	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	21	Car	Slight
1	Sunday	4	Unclassified	Dry	Darkness: street lighting unknown	Unknown	Pedestrian	Male	58	Car	Slight
1	Sunday	2	Unclassified	Dry	Darkness: street lighting unknown	Unknown	Pedestrian	Female	28	Car	Slight
2	Monday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	68	Car	Slight
2	Monday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	28	Car	Slight
2	Monday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	21	Motorcycle over 50cc and up to 125cc	Serious
2	Monday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	55	Car	Slight
2	Monday	4	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	18	Car	Slight
2	Tuesday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	46	Car	Slight
2	Tuesday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	43	Car	Slight
2	Tuesday	1	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	6	Car	Slight
2	Tuesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	25	Car	Slight
2	Tuesday	2	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Vehicle or pillion passenger	Female	3	Car	Slight
2	Thursday	2	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Female	24	Car	Slight
1	Tuesday	2	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	30	Car	Serious
3	Wednesday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	25	Car	Slight
2	Wednesday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	44	Car	Slight
