V_count,A_Day,Road_Type,Road_Surface,Lighting_Conditions,Weather_Conditions,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Type_of_Vehicle,Casualty_Severity
2,Friday,A,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Male,26,Car,Slight
2,Friday,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Male,42,Car,Slight
2,Saturday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fog or mist – if hazard,Driver or rider,Male,45,Pedal cycle,Serious
2,Saturday,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Male,25,Motorcycle over 50cc and up to 125cc,Slight
3,Saturday,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Female,54,Car,Slight
3,Saturday,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Male,55,Car,Slight
3,Saturday,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Female,31,Car,Slight
4,Saturday,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Female,40,Car,Slight
4,Saturday,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Male,15,Car,Slight
4,Saturday,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Female,30,Car,Slight
2,Saturday,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Male,23,Car,Slight
2,Saturday,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Female,29,Car,Slight
1,Saturday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Female,60,Car,Serious
1,Saturday,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Female,47,Car,Slight
1,Saturday,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Male,63,Car,Slight
4,Sunday,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver or rider,Female,29,Car,Slight
