V_count,A_Day,A_Time,Road_Type,Road_Surface,Lighting_Conditions,Weather_Conditions,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Type_of_Vehicle,Casualty_Severity
1,1,3,4,0,4,1,3,1,30,1,1
1,0,3,0,0,4,1,3,1,75,1,1
2,5,1,4,3,4,1,4,0,52,13,0
2,3,3,4,3,4,5,4,1,23,1,1
3,1,2,4,3,3,1,1,1,36,13,0
1,5,1,4,0,4,1,3,1,63,1,0
2,1,2,4,0,4,1,3,0,48,13,0
2,4,4,4,0,3,1,4,1,21,1,1
2,1,1,0,3,2,1,0,1,33,12,0
2,6,1,0,0,4,8,1,0,32,1,1
1,6,1,0,0,3,1,3,0,22,1,0
3,3,4,0,0,4,1,1,1,56,1,1
1,4,2,4,0,4,1,3,1,12,1,0
1,6,2,0,0,4,1,2,0,68,0,0
2,5,2,4,0,4,8,1,0,33,1,1
2,4,4,0,0,4,1,1,0,35,1,1
2,3,3,0,0,4,1,1,1,56,1,0
1,3,3,0,3,3,1,1,1,64,1,1
2,5,1,0,3,4,1,0,1,39,12,0
1,0,2,0,0,4,8,3,1,33,1,0
2,1,2,0,0,4,1,1,0,28,1,1
2,6,2,4,3,4,5,1,0,22,1,1
3,2,1,3,3,4,1,4,0,31,1,1
2,6,3,0,3,4,5,1,1,19,12,1
2,4,3,0,0,3,8,1,1,37,12,0
1,4,1,4,0,4,1,3,1,53,1,0
2,4,4,4,0,4,1,4,0,33,1,1
1,4,2,0,3,2,5,0,1,51,10,0
1,0,3,4,3,3,1,3,0,20,1,1
2,3,3,0,0,4,8,4,0,20,1,1
1,5,3,0,3,4,1,2,1,35,0,0
2,1,1,4,0,4,1,1,1,75,1,1
1,3,1,4,0,4,1,3,0,30,0,0
2,5,3,4,0,4,1,1,1,16,12,0
1,3,1,4,0,4,1,4,0,23,2,0
2,4,2,4,3,4,5,1,1,33,1,1
2,1,1,4,3,3,3,1,1,49,12,1
2,1,4,4,0,4,1,1,1,57,1,1
1,6,1,0,0,4,1,3,1,64,1,0
2,6,1,3,0,4,1,1,1,54,1,1
2,3,2,0,0,4,1,1,1,71,1,1
1,6,1,4,0,4,1,3,1,11,1,1
2,4,4,3,0,4,1,1,0,27,1,1
1,5,3,4,0,4,8,3,0,15,0,1
1,4,2,4,0,4,1,3,0,26,1,0
2,6,4,0,3,3,5,4,1,20,1,0
1,3,1,0,3,4,1,0,1,19,1,0
2,5,3,4,0,3,8,1,1,24,12,1
2,1,3,0,0,4,1,1,1,39,1,1
2,6,2,4,0,4,1,1,1,44,1,1
2,4,1,4,0,4,1,1,1,25,10,1
1,5,2,4,0,3,1,3,1,23,1,0
2,2,3,4,0,4,1,1,0,18,1,1
3,5,2,0,0,4,1,1,1,19,12,1
2,1,4,4,0,3,1,1,1,39,1,1
2,1,3,4,0,4,1,1,1,28,8,0
2,5,2,4,0,4,1,1,0,14,12,1
2,6,2,4,0,4,1,1,1,21,1,1
1,4,2,4,3,4,1,0,1,21,1,0
