,V_count,A_Day,A_Time,Road_Type,Road_Surface,Lighting_Conditions,Weather_Conditions,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Type_of_Vehicle,Casualty_Severity
119,2,1,4,4,3,3,1,1,0,26,1,1
120,2,1,1,4,3,3,1,4,0,14,1,1
121,2,5,4,4,3,4,8,3,1,17,1,1
122,1,5,3,4,0,4,1,3,0,42,1,0
123,1,5,4,4,3,3,1,3,0,12,1,1
124,2,5,2,0,0,3,1,1,1,27,1,1
125,2,5,3,0,0,3,1,4,1,31,1,1
126,2,5,1,0,0,3,1,4,1,29,1,1
127,2,5,1,0,0,3,1,4,1,28,1,1
128,2,6,4,4,0,3,8,1,0,40,12,1
129,2,6,4,2,0,4,8,1,1,32,12,1
130,2,6,2,4,3,1,1,1,1,73,1,0
131,2,6,3,4,3,1,1,1,1,47,1,1
132,2,6,3,4,0,3,1,4,1,33,1,1
133,1,6,4,4,3,4,5,3,0,15,1,1
134,1,6,4,4,3,3,3,1,1,25,1,1
135,2,6,3,4,3,3,1,1,0,27,1,1
136,1,4,4,4,1,4,1,1,1,16,5,1
137,1,4,1,4,1,4,1,3,0,52,1,1
138,1,4,3,4,1,4,1,3,1,33,1,1
139,2,4,3,0,3,4,8,1,1,62,1,1
140,1,4,3,4,3,3,5,3,1,12,1,1
141,1,4,3,4,3,3,5,3,1,43,1,1
142,2,4,2,4,3,3,5,1,1,22,1,0
143,2,4,1,0,3,3,1,1,0,64,1,1
144,2,4,3,0,3,3,1,4,0,15,1,1
145,2,0,2,2,3,4,5,1,0,51,1,1
146,1,0,3,4,0,4,1,3,1,10,1,1
147,2,0,4,4,3,3,8,1,1,21,12,1
148,2,0,3,0,3,3,1,1,1,15,12,1
149,2,2,4,0,3,3,5,1,0,25,1,1
150,2,2,4,0,3,3,5,4,1,21,1,1
151,2,2,4,0,3,3,5,1,1,33,1,1
152,1,2,4,4,3,3,1,3,1,42,1,0
153,1,2,1,0,3,3,5,4,1,25,1,0
154,2,2,2,0,3,3,1,1,1,31,1,1
155,3,3,1,0,3,4,1,1,1,63,1,1
156,2,3,1,4,3,3,1,1,1,40,12,1
157,1,1,1,2,0,4,1,3,0,27,1,1
158,2,1,3,0,0,4,1,1,0,63,1,1
159,2,1,4,4,0,4,1,4,1,20,1,1
160,2,1,4,4,0,4,1,1,0,66,1,1
161,1,5,1,4,3,4,5,3,1,28,1,1
162,1,5,1,4,0,4,8,3,1,21,1,1
163,2,5,3,4,0,3,1,1,0,59,1,1
164,1,5,2,4,3,4,1,4,0,46,0,1
165,2,5,3,4,0,4,8,4,0,19,1,1
166,2,5,1,4,0,4,8,4,1,19,1,1
167,2,5,3,4,0,4,8,4,0,19,1,1
168,2,6,2,4,0,4,8,4,0,43,1,1
169,2,6,4,4,0,4,1,1,1,40,1,1
170,2,6,2,3,0,3,1,1,0,28,1,1
171,2,4,4,4,0,3,1,1,1,41,12,0
172,2,4,2,4,3,4,1,1,1,50,12,1
173,1,0,1,4,0,3,8,3,0,14,1,1
174,2,4,3,0,3,3,4,1,1,48,1,1
175,2,4,1,0,3,3,4,4,0,36,1,1
176,1,4,1,2,0,3,8,3,0,30,1,0
177,2,4,3,0,3,4,1,1,1,21,12,1
178,2,4,1,4,3,3,5,1,0,43,12,1
179,2,0,3,0,3,4,1,1,1,60,1,1
180,1,4,4,4,3,3,1,3,1,20,13,1
181,2,0,3,4,3,4,1,1,1,18,5,1
182,3,0,1,4,0,3,1,1,0,22,1,1
183,1,0,4,4,0,3,8,1,1,26,10,1
184,2,4,4,2,0,3,8,1,1,47,12,1
185,1,0,2,0,3,4,1,3,0,22,13,1
186,2,0,4,4,3,4,4,1,0,29,1,1
187,2,0,1,0,3,4,0,1,0,38,1,1
188,1,6,1,4,0,4,8,3,1,26,1,1
189,2,0,2,4,0,4,0,1,1,21,12,1
190,4,0,2,1,3,1,1,1,0,25,1,1
191,4,0,1,1,3,1,1,1,1,41,1,1
192,4,0,4,1,3,1,1,1,1,23,1,1
193,4,0,1,1,3,1,1,1,0,24,1,1
194,2,0,3,4,0,3,8,1,1,24,12,1
195,1,0,4,4,0,3,0,3,1,70,1,1
196,2,0,1,2,0,3,8,1,1,33,13,1
197,1,2,4,2,0,2,8,1,1,35,2,0
198,1,2,4,2,3,4,1,3,0,81,1,1
199,2,2,3,0,3,4,6,1,1,33,12,1
200,1,2,2,3,3,3,7,1,1,48,1,1
201,2,3,1,4,3,4,1,1,0,37,1,1
202,2,3,1,4,3,4,1,1,1,28,1,1
203,2,3,4,4,3,4,1,4,0,20,1,1
204,2,3,1,4,3,4,1,4,0,7,1,1
205,2,3,1,4,3,4,1,4,1,6,1,1
206,1,3,1,4,3,4,1,3,1,28,1,1
207,2,3,4,4,0,4,1,1,1,41,12,1
208,1,3,3,0,3,3,1,1,1,64,1,1
209,1,3,4,4,0,4,0,3,1,20,13,1
